date,weather
5/14/2020,
5/15/2020,RA BR
5/16/2020,RA
5/17/2020,
5/18/2020,
5/19/2020,
5/20/2020,
5/21/2020,
5/22/2020,RA BR
5/23/2020,RA FG BR
5/24/2020,
5/25/2020,BR
5/26/2020,BR HZ
5/27/2020,HZ
5/28/2020,BR
5/29/2020,BR
5/30/2020,RA
5/31/2020,
6/1/2020,
6/2/2020,RA
6/3/2020,RA BR
6/4/2020,RA BR
6/5/2020,RA BR
6/6/2020,RA BR
6/7/2020,
6/8/2020,
6/9/2020,
6/10/2020,
6/11/2020,RA BR
6/12/2020,
6/13/2020,
6/14/2020,
6/15/2020,
6/16/2020,
6/17/2020,
6/18/2020,BR
6/19/2020,BR
6/20/2020,
6/21/2020,
6/22/2020,
6/23/2020,RA
6/24/2020,
6/25/2020,
6/26/2020,
6/27/2020,RA BR
6/28/2020,RA BR
6/29/2020,RA FG BR
6/30/2020,RA
